MATCH_NAME,MATCH_URL,TEAM,CHECK
Uni Liga 1.1,EUW1_5522936356,BLUE,1
Uni Liga 1.2,EUW1_5522827263,RED,1
Uni Liga 2.1,EUW1_5539073657,BLUE,1
Uni Liga 2.2,EUW1_5539024278,RED,1
Uni Liga 3.1,EUW1_5545058297,BLUE,1
Uni Liga 3.2,EUW1_5545098596,RED,1
Uni Liga 4.1,EUW1_5558720840,RED,1
Uni Liga 4.2,EUW1_5556489932,BLUE,1
Uni Liga 5.1,EUW1_5588524723,RED,1
Uni Liga 5.2,EUW1_5588246090,BLUE,1
Uni Liga 6.1,EUW1_5594099926,RED,1
Uni Liga 6.2,EUW1_5597050484,BLUE,1
Uni Liga 7.1,EUW1_5606479585,BLUE,1
Uni Liga 7.2,EUW1_5606480261,RED,1
Uni Liga 8.1,EUW1_5612865565,RED,1
Uni Liga 8.2,EUW1_5612855939,BLUE,1
Relegation 1.1,EUW1_5659776745,BLUE,1
Relegation 1.2,EUW1_5659996966,BLUE,1
Relegation 1.3,EUW1_5659777784,BLUE,1
Relegation 1.4,EUW1_5659778229,BLUE,1
Relegation 2.1,EUW1_5673777614,RED,1
Relegation 2.2,EUW1_5673678688,BLUE,1
Relegation 2.3,EUW1_5673778839,RED,1
Relegation 2.4,EUW1_5673779364,BLUE,1
Relegation 2.5,EUW1_5676250485,RED,1
