TEAMS,MATCH_ID,TEAM,CHECK,TIMESTAMP
1. Runde UEM-HH,EUW1_5522936356,RED,1,26.10.21 - 20:38
1. Runde HH-UEM,EUW1_5522827263,BLUE,1,26.10.21 - 21:38
1. Runde VV-UUK,EUW1_5531089439,BLUE,1,01.11.21 - 18:01
1. Runde UUK-VV,EUW1_5533560626,RED,1,01.11.21 - 19:19
1. Runde OSSG-FU,EUW1_5522776521,RED,1,26.10.21 - 19:50
1. Runde FU-OSSG,EUW1_5522776839,BLUE,1,26.10.21 - 20:33
1. Runde GGU-ESA,EUW1_5522796388,RED,1,26.10.21 - 19:50 
1. Runde ESA-GGU,EUW1_5522796877,BLUE,1,26.10.21 - 20:45
2. Runde RIP-HH,EUW1_5534314650,RED,1,02.11.21 - 19:32
2. Runde HH-RIP,EUW1_5534315303,BLUE,1,02.11.21 - 20:46
2. Runde UEM-FU,EUW1_5539073657,RED,1,05.11.21 - 20:02
2. Runde FU-UEM,EUW1_5539024278,BLUE,1,05.11.21 - 21:05
2. Runde ESA-VV,EUW1_5533955423,BLUE,1,02.11.21 - 19:38
2. Runde VV-ESA,EUW1_5533895970,RED,1,02.11.21 - 20:41
2. Runde OSSG-GGU,EUW1_5533985391,BLUE,1,02.11.21 - 19:51
2. Runde GGU-OSSG,EUW1_5533985876,RED,1,02.11.21 - 20:48
3. Runde RIP-UUK,EUW1_5545457925,BLUE,1,09.11.21 - 20:44
3. Runde UUK-RIP,EUW1_5545458363,RED,1,09.11.21 - 21:30
3. Runde HH-FU,EUW1_5545438057,RED,1,09.11.21 - 20:55
3. Runde FU-HH,EUW1_5545438525,BLUE,1,09.11.21 - 21:42
3. Runde UEM-GGU,EUW1_5545058297,BLUE,1,09.11.21 - 19:39
3. Runde GGU-UEM,EUW1_5545098596,RED,1,09.11.21 - 20:46
3. Runde VV-OSSG,EUW1_5545397722,BLUE,1,09.11.21 - 19:47
3. Runde OSSG-VV,EUW1_5545328255,RED,1,09.11.21 - 20:44
4. Runde VV-UEM,EUW1_5558720840,BLUE,1,16.11.21 - 19:51
4. Runde UEM-VV,EUW1_5556489932,RED,1,16.11.21 - 20:42
4. Runde RIP-FU,EUW1_5556130100,BLUE,1,16.11.21 - 19:43
4. Runde FU-RIP,EUW1_5558880633,RED,1,16.11.21 - 20:39
4. Runde UUK-ESA,EUW1_5558691036,BLUE,1,16.11.21 - 19:56
4. Runde ESA-UUK,EUW1_5558691752,RED,1,16.11.21 - 21:08
4. Runde HH-GGU,EUW1_5556409830,BLUE,1,16.11.21 - 19:46
4. Runde GGU-HH,EUW1_5559070571,RED,1,16.11.21 - 20:58
5. Runde FU-GGU,EUW1_5571412063,RED,1,23.11.21 - xx:xx
5. Runde GGU-FU,EUW1_5571472498,BLUE,1,23.11.21 - xx:xx
5. Runde UUK-OSSG,EUW1_5571372172,BLUE,1,23.11.21 - xx:xx
5. Runde OSSG-UUK,EUW1_5571372809,RED,1,23.11.21 - xx:xx
5. Runde HH-VV,EUW1_5569160455,BLUE,1,23.11.21 - xx:xx
5. Runde VV-HH,EUW1_5572001001,RED,1,23.11.21 - xx:xx
5. Runde RIP-ESA,EUW1_5571741294,BLUE,1,23.11.21 - xx:xx
5. Runde ESA-RIP,EUW1_5571741842,RED,1,23.11.21 - xx:xx
6. Runde ESA-OSSG,EUW1_5582737080,BLUE,1,30.11.21
6. Runde OSSG-ESA,EUW1_5582737080,RED,1,30.11.21
